50	70	25	25
73	70	25	25
96	70	25	25
119	70	25	25
142	70	25	25
165	70	25	25
188	70	25	25
211	70	25	25
234	70	25	25
257	70	25	25
280	70	25	25
303	70	25	25
326	70	25	25
349	70	25	25
372	70	25	25
395	70	25	25
418	70	25	25
441	70	25	25
464	70	25	25
487	70	25	25
510	70	25	25
533	70	25	25
556	70	25	25
579	70	25	25
602	70	25	25
625	70	25	25
648	70	25	25
671	70	25	25
694	70	25	25
717	70	25	25
740	70	25	25
763	70	25	25
786	70	25	25
809	70	25	25
50	95	25	25
50	120	25	25
50	145	25	25
50	170	25	25
50	195	25	25
50	220	25	25
50	245	25	25
50	270	25	25
50	295	25	25
50	320	25	25
50	345	25	25
50	370	25	25
50	395	25	25
50	420	25	25
50	445	25	25
809	95	25	25
809	120	25	25
809	145	25	25
809	170	25	25
809	195	25	25
809	220	25	25
809	245	25	25
809	270	25	25
809	295	25	25
809	320	25	25
809	345	25	25
809	370	25	25
809     395     25      25
50	470	25	25
73	470	25	25
96	470	25	25
119	470	25	25
142	470	25	25
165	470	25	25
188	470	25	25
211	470	25	25
234	470	25	25
257	470	25	25
280	470	25	25
303	470	25	25
326	470	25	25
349	470	25	25
372	470	25	25
395	470	25	25
418	470	25	25
441	470	25	25
464	470	25	25
464	495	25	25
464	520	25	25
464	545	25	25
464	570	25	25
464	595	25	25
487	595	25	25
510	595	25	25
533	595	25	25
556	595	25	25
579	595	25	25
602	595	25	25
625	595	25	25
648	595	25	25
671	595	25	25
694	595	25	25
717	595	25	25
740	595	25	25
763	595	25	25
556	395	25	25
579	395	25	25
602	395	25	25
625	395	25	25
648	395	25	25
671	395	25	25
694	395	25	25
717	395	25	25
740	395	25	25
763	395	25	25
786	395	25	25
556	420	25	25
556	445	25	25
556	470	25	25
556	495	25	25
579	495	25	25
602	495	25	25
625	495	25	25
648	495	25	25
671	495	25	25
694	495	25	25
717	495	25	25
740	495	25	25
763	495	25	25

